iter	Passed	Remaining
410	4088	5859
411	4096	5845
412	4102	5830
413	4108	5816
414	4115	5801
415	4123	5788
416	4165	5824
417	4173	5810
418	4183	5800
419	4190	5786
420	4197	5772
421	4205	5759
422	4212	5745
423	4219	5731
424	4227	5719
425	4234	5705
426	4243	5693
427	4255	5686
428	4264	5676
429	4271	5662
430	4278	5647
431	4284	5633
432	4291	5619
433	4298	5605
434	4304	5590
435	4309	5574
436	4315	5560
437	4322	5546
438	4329	5532
439	4334	5516
440	4342	5504
441	4351	5493
442	4361	5484
443	4396	5506
444	4405	5494
445	4412	5480
446	4419	5467
447	4426	5454
448	4433	5440
449	4438	5425
450	4444	5410
451	4452	5398
452	4463	5389
453	4475	5382
454	4483	5370
455	4490	5357
456	4497	5343
457	4502	5328
458	4508	5314
459	4515	5301
460	4522	5287
461	4528	5273
462	4534	5259
463	4540	5245
464	4547	5231
465	4554	5218
466	4565	5210
467	4584	5211
468	4601	5210
469	4640	5232
470	4645	5218
471	4653	5205
472	4660	5193
473	4669	5181
474	4681	5174
475	4693	5166
476	4701	5154
477	4709	5142
478	4715	5129
479	4723	5117
480	4730	5104
481	4737	5091
482	4745	5079
483	4752	5066
484	4759	5054
485	4766	5041
486	4776	5031
487	4785	5021
488	4793	5009
489	4802	4998
490	4809	4985
491	4816	4973
492	4822	4959
493	4828	4945
494	4834	4932
495	4841	4919
496	4848	4907
497	4867	4906
498	4875	4894
499	4889	4889
500	4906	4886
501	4922	4883
502	4937	4878
503	4948	4869
504	4958	4860
505	4970	4852
506	4982	4845
507	5002	4845
508	5017	4840
509	5027	4830
510	5034	4818
511	5043	4806
512	5050	4794
513	5058	4783
514	5066	4771
515	5074	4759
516	5082	4747
517	5157	4798
518	5164	4786
519	5170	4772
520	5177	4760
521	5192	4754
522	5207	4749
523	5226	4747
524	5240	4741
525	5255	4735
526	5264	4724
527	5272	4713
528	5280	4701
529	5288	4689
530	5297	4678
531	5305	4667
532	5319	4660
533	5352	4670
534	5359	4658
535	5367	4646
536	5375	4634
537	5384	4623
538	5393	4612
539	5401	4601
540	5409	4589
541	5422	4582
542	5436	4575
543	5451	4569
544	5463	4561
545	5471	4549
546	5477	4536
547	5483	4523
548	5490	4510
549	5497	4498
550	5505	4486
551	5513	4474
552	5522	4463
553	5532	4453
554	5543	4444
555	5552	4434
556	5560	4422
557	5599	4435
558	5607	4423
559	5615	4412
560	5624	4401
561	5632	4389
562	5643	4380
563	5652	4369
564	5659	4357
565	5665	4344
566	5673	4332
567	5680	4320
568	5687	4308
569	5694	4295
570	5702	4284
571	5709	4272
572	5715	4259
573	5721	4246
574	5728	4233
575	5735	4222
576	5743	4210
577	5750	4198
578	5756	4185
579	5761	4172
580	5768	4160
581	5775	4147
582	5782	4136
583	5789	4123
584	5795	4111
585	5801	4098
586	5807	4086
587	5826	4082
588	5833	4070
589	5847	4063
590	5862	4057
591	5880	4052
592	5894	4045
593	5910	4039
594	5926	4033
595	5941	4027
596	5956	4020
597	5973	4015
598	5983	4005
599	5991	3994
