iter	Logloss
140	0.2946808001
141	0.2942933383
142	0.2938626433
143	0.2931536322
144	0.2927434564
145	0.2924531562
146	0.2921261025
147	0.2917595955
148	0.2912179259
149	0.2907401655
150	0.290256117
151	0.2898306999
152	0.2892616829
153	0.2888641183
154	0.2883702108
155	0.2881403535
156	0.2877883911
157	0.2872643493
158	0.2867557055
159	0.2863902959
160	0.2860561353
161	0.2854634464
162	0.2851212907
163	0.2847238305
164	0.2843664509
165	0.2838411549
166	0.2834307179
167	0.2830183822
168	0.2826785083
169	0.2823289148
170	0.2818530705
171	0.2816681535
172	0.2811902538
173	0.2809004413
174	0.2805730741
175	0.2801840969
176	0.2799149953
177	0.2797445707
178	0.2793728554
179	0.2791233498
180	0.2788887198
181	0.2785040973
182	0.278145777
183	0.277678555
184	0.2772464665
185	0.2769907424
186	0.2766252283
187	0.2764388307
188	0.2762269321
189	0.2760545913
190	0.275675717
191	0.2754936044
192	0.2751149391
193	0.2749252319
194	0.2746821538
195	0.2743894673
196	0.2740171946
197	0.2737691871
198	0.2735493629
199	0.2733168232
200	0.2730655061
201	0.2727871725
202	0.2725266931
203	0.2723162577
204	0.2721054913
205	0.2717749887
206	0.2712569563
207	0.2711191395
208	0.2709189289
209	0.2705630298
210	0.2703506609
211	0.2701134181
212	0.2699061355
213	0.2695433734
214	0.2692424304
215	0.2689969659
216	0.2688623716
217	0.2687577026
218	0.2684568292
219	0.2682204921
220	0.2678570682
221	0.267520922
222	0.2671709801
223	0.2668678946
224	0.2666801906
225	0.2664822095
226	0.2661673141
227	0.265925316
228	0.2657177895
229	0.2655606205
230	0.2652801096
231	0.2650765023
232	0.2648533512
233	0.2646813066
234	0.2645704365
235	0.2641763731
236	0.2640010189
237	0.2638425087
238	0.2637091162
239	0.2635570509
240	0.26311101
241	0.2628683151
242	0.2626591861
243	0.2625045602
244	0.2622361205
245	0.2620821391
246	0.2617465503
247	0.2616240445
248	0.2614324038
249	0.2611403443
250	0.2608211291
251	0.2605742363
252	0.2603953984
253	0.2602532269
254	0.2601071014
255	0.2598502451
256	0.2594966801
257	0.2592196704
258	0.2589916769
259	0.2586042326
260	0.2584226251
261	0.2582108485
262	0.2580106552
263	0.2579070488
264	0.2578153567
265	0.2575622628
266	0.2572213961
267	0.2569225782
268	0.2567160619
269	0.2566294039
270	0.2565353603
271	0.2563553379
272	0.256267687
273	0.2561507029
274	0.255998655
275	0.2557870525
276	0.2556805545
277	0.2554443568
278	0.2553098496
279	0.2550902519
280	0.2549134868
281	0.2547625537
282	0.2543098937
283	0.2539334406
284	0.2537642178
285	0.2535902398
286	0.253318055
287	0.253133138
288	0.2529007028
289	0.2526412859
290	0.2525066567
291	0.2522715913
292	0.2519974208
293	0.2517848429
294	0.2516218734
295	0.2515023985
296	0.2512789861
297	0.2511885134
298	0.2508800629
299	0.2507200894
300	0.2504444035
301	0.2502600439
302	0.2499535269
303	0.2497678783
304	0.2495285452
305	0.2491634665
306	0.2488506265
307	0.2484940133
308	0.2483725526
309	0.2480929301
310	0.2478834527
311	0.2476668684
312	0.2475766221
313	0.2473844763
314	0.2473507015
315	0.24729369
316	0.2471540617
317	0.2469189091
318	0.2468113311
319	0.2464582539
320	0.2463475406
321	0.2460277679
322	0.245887408
323	0.2456127149
324	0.245296426
325	0.2451535055
326	0.2450643566
327	0.2449902399
328	0.2447474231
329	0.2446040323
330	0.2444417422
331	0.2442951464
332	0.2442081399
333	0.2439887339
334	0.2438113417
335	0.2436779144
336	0.2435051208
337	0.2433518013
338	0.2430965824
339	0.2428190153
340	0.2426510118
341	0.2425655557
342	0.2422910368
343	0.2421723631
344	0.2420202281
345	0.2417956139
346	0.2416632143
347	0.2415816773
348	0.241428741
349	0.2412444511
350	0.2411358977
351	0.2409746353
352	0.240858348
353	0.2406538872
354	0.2405341684
355	0.2402931457
356	0.2401710057
357	0.2399874822
358	0.2396564222
359	0.2394161834
360	0.2392769034
361	0.239175004
362	0.2389846175
363	0.2387196789
364	0.2385024328
365	0.2383824353
366	0.2381487981
367	0.2379899569
368	0.2378408876
369	0.2376040803
370	0.2374383935
371	0.2374035213
372	0.2371420839
373	0.23695917
374	0.2367677035
375	0.2366225012
376	0.2364615175
377	0.2362695981
378	0.2359571065
379	0.2358344788
380	0.2356356268
381	0.2354155937
382	0.2352283077
383	0.2351539995
384	0.2350065153
385	0.234808273
386	0.2345779976
387	0.2343403716
388	0.2341531727
389	0.2339553485
390	0.2337784092
391	0.233418051
392	0.2333131729
393	0.2332183977
394	0.2329131523
395	0.2327143351
396	0.2325107627
397	0.2324305844
398	0.2323211252
399	0.2321415557
400	0.2319003589
401	0.2318005671
402	0.2316015932
403	0.2314248629
404	0.2313069905
405	0.2311394574
406	0.2309908235
407	0.2308286554
408	0.2307342111
409	0.230632451
410	0.230448283
411	0.2302976983
412	0.2301091582
413	0.2300469385
414	0.2296901337
415	0.2295519511
416	0.229322686
417	0.2291191833
418	0.2289746951
419	0.2288626405
420	0.2287519272
421	0.2285941485
422	0.2284307959
423	0.2283144215
424	0.2282712405
425	0.228067999
426	0.2279113003
427	0.2277519017
428	0.2275786726
429	0.2274192566
430	0.2272847145
431	0.2272103889
432	0.2270100215
433	0.2268078251
434	0.2266253119
435	0.2265410053
436	0.2263504272
437	0.2262481271
438	0.2260793747
439	0.2259329182
440	0.225732394
441	0.2255259997
442	0.2253648418
443	0.2252174099
444	0.2251541974
445	0.224941724
446	0.2247555354
447	0.2246001431
448	0.2244484958
449	0.224262882
450	0.224113325
451	0.2240874408
452	0.2239600404
453	0.2237747401
454	0.2237017383
455	0.2235971041
456	0.2234757306
457	0.2231929204
458	0.223056741
459	0.2228738445
460	0.2227321956
461	0.2226350688
462	0.2223630583
463	0.2222544352
464	0.2220518905
465	0.2219327988
466	0.2218727565
467	0.2216949463
468	0.2215475143
469	0.2214099414
470	0.2212945773
471	0.2211893508
472	0.2210032494
473	0.2208527169
474	0.220727877
475	0.2205637753
476	0.2204920451
477	0.2203332039
478	0.2201666636
479	0.2200805107
480	0.21990817
481	0.2198070892
482	0.2197449218
483	0.2195159355
484	0.2194038635
485	0.2190853798
486	0.2188835318
487	0.2187426841
488	0.2186695256
489	0.2185187318
490	0.2182503792
491	0.2182100897
492	0.2179931223
493	0.2178147024
494	0.2177067935
495	0.2175113382
496	0.217449136
497	0.2172845292
498	0.2171132336
499	0.2169144164
500	0.2168013342
501	0.21660938
502	0.2163864902
503	0.2162535855
504	0.2160531658
505	0.2158996721
506	0.2158296489
507	0.2157253631
508	0.2154258136
509	0.2152692716
510	0.2150854694
511	0.2149231793
512	0.2147566216
513	0.2145911787
514	0.2144557308
515	0.2143287485
516	0.2141323351
517	0.2140229456
518	0.2138142346
519	0.2136105751
520	0.2135197191
521	0.2133366833
522	0.2131530553
523	0.2129968965
524	0.2127615524
525	0.2126669688
526	0.2124860929
527	0.2123120452
528	0.2121719291
529	0.2119444407
530	0.2117292848
531	0.2115847096
532	0.2115530598
533	0.2113201194
534	0.2112184986
535	0.2110788702
536	0.2108932391
537	0.2107016681
538	0.2105764624
539	0.2104609938
540	0.2104064732
541	0.210155609
542	0.2101017503
543	0.2099428917
544	0.2097802707
545	0.2096333264
546	0.2095420175
547	0.2093297532
548	0.2092716095
549	0.2092430777
550	0.2090427277
551	0.208872094
552	0.2086737297
553	0.2085384212
554	0.2081591811
555	0.2079710242
556	0.2078790534
557	0.2076320213
558	0.2074677628
559	0.2072039913
560	0.2071136057
561	0.2070046691
562	0.2067575324
563	0.2066539956
564	0.206559412
565	0.2063879771
566	0.20626521
567	0.2061387154
568	0.2060004805
569	0.2058455759
570	0.205716991
571	0.2056725907
572	0.2055594562
573	0.2054023046
574	0.2053051082
575	0.205070844
576	0.2049326788
577	0.20480331
578	0.2046638733
579	0.2045279725
580	0.2043111792
581	0.2041481053
582	0.2040468678
583	0.2038598082
584	0.2037368496
585	0.2036657116
586	0.2034705523
587	0.2032283626
588	0.2031590187
589	0.2029879322
590	0.2028458652
591	0.2027602871
592	0.2026592237
593	0.2025715205
594	0.2024027507
595	0.2022347995
596	0.2020645664
597	0.2019689203
598	0.2018678918
599	0.2017387146
600	0.201626364
601	0.2014647532
602	0.2013274763
603	0.2012226854
604	0.2009877592
605	0.200719964
606	0.2005379385
607	0.2004579344
608	0.2003002776
609	0.2001834852
610	0.2000584885
611	0.2000281277
612	0.1999584529
613	0.1997979917
614	0.1997267666
615	0.1996900306
616	0.1995857274
617	0.199522602
618	0.1994238379
619	0.1992325805
620	0.1991462185
621	0.1990275623
622	0.1989175631
623	0.198793629
624	0.1986567528
625	0.1985054016
626	0.1982557915
627	0.1981284433
628	0.1979691667
629	0.1977922622
630	0.1976888822
631	0.1976222556
632	0.1975635546
633	0.1973880088
634	0.1972971006
635	0.1971675751
636	0.1970305421
637	0.1969660406
638	0.1968828315
639	0.1967539678
640	0.1966588269
641	0.1965338825
642	0.1963500454
643	0.1962558624
644	0.1961930854
645	0.1960319624
646	0.1959718852
647	0.1957893546
648	0.1957198191
649	0.1956108476
650	0.1954714283
651	0.1953696856
652	0.195298147
653	0.1951988429
654	0.1950019767
655	0.1949022197
656	0.1947727987
657	0.1946281538
658	0.1944559524
659	0.1943719246
660	0.1943129448
661	0.1941750931
662	0.1941026487
663	0.1939801081
664	0.1938134459
665	0.193549535
666	0.1933932718
667	0.1932740582
668	0.1932250768
669	0.1930438351
670	0.1929437298
671	0.1928080729
672	0.1925990484
673	0.1925526101
674	0.1923862266
675	0.1922230481
676	0.1922017276
677	0.192161142
678	0.1920553234
679	0.1919508808
680	0.1918160425
681	0.1917273116
682	0.191632101
683	0.1916129752
684	0.1913487334
685	0.1910840039
686	0.1910519186
687	0.1910162103
688	0.1909315205
689	0.1908102863
690	0.1906670174
691	0.1905752382
692	0.190462156
693	0.1904105618
694	0.1902760893
695	0.1901228569
696	0.1900810346
697	0.1898773054
698	0.1897125941
699	0.1896138648
700	0.1895180619
701	0.1895006432
702	0.1893048918
703	0.1891601772
704	0.1890380372
705	0.1888482429
706	0.1886549998
707	0.1884510615
708	0.1882736694
709	0.1881192351
710	0.188105004
711	0.1878495587
712	0.1875287931
713	0.1873594136
714	0.1872522014
715	0.1871026967
716	0.1869202357
717	0.1869102722
718	0.1866759383
719	0.1864920141
720	0.1863247249
721	0.1862292703
722	0.1861881622
723	0.1859353819
724	0.1858139909
725	0.1857789967
726	0.1856568567
727	0.1855945674
728	0.1855581101
729	0.1855150336
730	0.1854976323
731	0.1853743253
732	0.1851097002
733	0.1850670941
734	0.1850400602
735	0.184967912
736	0.1848418179
737	0.1847523032
738	0.1847134943
739	0.1846790052
740	0.1844649641
741	0.1842750305
742	0.1842396183
743	0.184106731
744	0.1839664581
745	0.1838379603
746	0.1837707763
747	0.1836129803
748	0.1835397346
749	0.1834504289
750	0.1831958718
751	0.1830724429
752	0.1829334764
753	0.1828670763
754	0.1827878212
755	0.1827527051
756	0.1827195747
757	0.1826707326
758	0.1825441509
759	0.1824295183
760	0.1822628561
761	0.1820869968
762	0.1820503653
763	0.181913611
764	0.181877293
765	0.181647906
766	0.1813240922
767	0.1812126473
768	0.1811540856
769	0.1809859602
770	0.1809200304
771	0.1808826499
772	0.1807360366
773	0.1806024699
774	0.1804786403
775	0.1804043147
776	0.1802461877
777	0.1800486247
778	0.1799140826
779	0.1797464449
780	0.1796908096
781	0.1796139408
782	0.1795146716
783	0.1794775
784	0.1794345107
785	0.1792615603
786	0.1791292826
787	0.1789623417
788	0.1788230443
789	0.1787990413
790	0.1786607716
791	0.1786297489
792	0.178573051
793	0.1784343284
794	0.1783281614
795	0.1781540265
796	0.1780513432
797	0.1778304043
798	0.1776774507
799	0.1775114852
800	0.1773276656
801	0.1772379592
802	0.1769753896
803	0.1769349956
804	0.1767713643
805	0.176566886
806	0.1764611545
807	0.1762994566
808	0.1761792675
809	0.1760095048
810	0.1759944898
811	0.1758012118
812	0.1756816847
813	0.1755812832
814	0.1755244808
815	0.1755046757
816	0.1754729214
817	0.1753928999
818	0.1753345995
819	0.1753213961
820	0.175192097
821	0.1751257143
822	0.1748984002
823	0.1747892197
824	0.1747398551
825	0.1747044428
826	0.1746220001
827	0.1745297854
828	0.1744707186
829	0.1743354101
830	0.1743078014
831	0.1741733986
832	0.1741562412
833	0.1739777517
834	0.173800377
835	0.1736686045
836	0.1733684801
837	0.1732609196
838	0.1731787729
839	0.1730433947
840	0.1729102635
841	0.1728226997
842	0.1726829146
843	0.1725964481
844	0.1725009239
845	0.1722837474
846	0.1722127488
847	0.1720498664
848	0.1718766374
849	0.1717561173
850	0.1717303899
851	0.1715434349
852	0.1715278103
853	0.1715052008
854	0.1713583785
855	0.1712694212
856	0.1711010519
857	0.1710298442
858	0.171013819
859	0.1708278221
860	0.170693489
861	0.1704745358
862	0.170270615
863	0.1701289312
864	0.1699281457
865	0.1698811501
866	0.1697702974
867	0.1696378455
868	0.1695260523
869	0.1694678041
870	0.1694319738
871	0.1692291678
872	0.1690899749
873	0.1689021489
874	0.1687824824
875	0.1687584272
876	0.168610821
877	0.1685458318
878	0.1684762267
879	0.1682994094
880	0.1682610185
881	0.1682312674
882	0.1682215477
883	0.1681264938
884	0.1680553036
885	0.1679434755
886	0.1678705433
887	0.1677676336
888	0.1677446757
889	0.1677185825
890	0.1675048898
891	0.167431017
892	0.167292608
893	0.1672220099
894	0.1671078826
895	0.1670851686
896	0.1670051296
897	0.166935507
898	0.1667605709
899	0.1665425235
900	0.1663733704
901	0.1663511268
902	0.166189394
903	0.1661212521
904	0.1660235331
905	0.1659676365
906	0.1658627932
907	0.1657300453
908	0.1655677377
909	0.1654570767
910	0.1653354767
911	0.1653181625
912	0.165301005
913	0.1651891247
914	0.1650597559
915	0.1648448091
916	0.1647441638
917	0.1645979163
918	0.1645619466
919	0.1644599949
920	0.1643046897
921	0.1642077372
922	0.1640098781
923	0.1638849859
924	0.163781693
925	0.1636785568
926	0.1635034291
927	0.1634468357
928	0.1633155858
929	0.1630845266
930	0.1630040521
931	0.1629171328
932	0.1629110188
933	0.1627221129
934	0.1626111732
935	0.1625684625
936	0.1625121304
937	0.162341009
938	0.1622753927
939	0.1621432718
940	0.1619888724
941	0.1619082934
942	0.1618824789
943	0.161854069
944	0.1618211825
945	0.1616290193
946	0.1615529343
947	0.1614453738
948	0.1614103448
949	0.1613665542
950	0.1612084794
951	0.1611188253
952	0.1609280033
953	0.1608901002
954	0.1607570735
955	0.1607183517
956	0.1605962814
957	0.1604576633
958	0.1602718754
959	0.1602253674
960	0.1601269517
961	0.1600902679
962	0.1599775515
963	0.1599233619
964	0.1598213579
965	0.1596196144
966	0.1595697272
967	0.1594415952
968	0.1593848102
969	0.159172929
970	0.158964671
971	0.1589285446
972	0.1588875932
973	0.1587120648
974	0.1584951671
975	0.158353553
976	0.1582788267
977	0.1581164843
978	0.1580700112
979	0.1579641229
980	0.1579167614
981	0.1578431848
982	0.1576734046
983	0.1576575362
984	0.1575405696
985	0.1574373986
986	0.1573247343
987	0.157133564
988	0.1568708376
989	0.156697835
990	0.1566707838
991	0.156517412
992	0.1564442883
993	0.1562752397
994	0.1561642303
995	0.1560394949
996	0.1558884921
997	0.1558621899
998	0.1557434291
999	0.1556975134
